station,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12
USW00094299,12.2,6.5,8.2,36.7,40.0,9.2,0.0,18.3,12.9,4.3,7.5,4.3
USW00094299,12.2,6.5,8.2,36.7,40.0,9.2,0.0,18.3,12.9,4.3,7.5,4.3
USC00047109,57.4,28.9,84.6,52.0,18.8,53.9,1.5,0.3,66.6,0.3,58.4,21.9
US1CAMD0010,37.4,15.2,61.4,28.0,2.5,12.7,10.2,0.0,7.6,0.0,20.0,10.7
US1CAMD0010,37.4,15.2,61.4,28.0,2.5,12.7,10.2,0.0,7.6,0.0,20.0,10.7
US1CAMD0010,37.4,15.2,61.4,28.0,2.5,12.7,10.2,0.0,7.6,0.0,20.0,10.7
US1CAMA0003,23.2,27.2,14.3,6.8,9.1,0.0,0.0,1.0,7.4,4.1,16.6,6.9
USC00043261,18.8,18.2,6.8,11.7,1.3,0.0,0.8,2.5,2.0,6.4,11.4,10.9
USC00048587,38.4,1.0,16.9,48.8,5.9,4.8,0.0,0.0,1.8,0.0,14.4,2.5
USC00048587,38.4,1.0,16.9,48.8,5.9,4.8,0.0,0.0,1.8,0.0,14.4,2.5
USC00048587,38.4,1.0,16.9,48.8,5.9,4.8,0.0,0.0,1.8,0.0,14.4,2.5
US1CALK0009,41.6,20.7,64.1,31.5,4.9,19.2,1.0,0.0,19.8,2.5,33.3,11.4
USW00053120,40.7,24.4,35.7,1.5,11.9,0.0,2.0,0.3,0.0,41.2,5.4,21.3
USW00003164,51.6,25.0,36.3,0.3,8.4,0.0,6.1,4.9,38.4,22.9,20.4,14.1
USW00003178,48.0,16.5,26.9,2.6,5.6,0.0,0.5,0.0,0.0,13.7,10.4,9.5
USC00045968,63.7,56.7,33.3,0.3,8.9,0.0,58.4,48.3,62.0,30.5,27.2,23.8
USC00044412,49.5,40.5,46.0,3.1,22.7,0.0,22.5,65.2,6.3,71.7,37.6,43.2
USC00044412,49.5,40.5,46.0,3.1,22.7,0.0,22.5,65.2,6.3,71.7,37.6,43.2
USC00041424,58.3,38.7,45.2,0.5,13.2,0.0,6.9,3.8,59.5,29.5,22.1,19.7
USW00003178,48.0,16.5,26.9,2.6,5.6,0.0,0.5,0.0,0.0,13.7,10.4,9.5
USC00044412,49.5,40.5,46.0,3.1,22.7,0.0,22.5,65.2,6.3,71.7,37.6,43.2
US1CASD0091,0.0,0.0,0.0,0.0,18.1,0.0,1.0,0.0,0.0,19.3,7.4,17.8
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
US1CAPC0006,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
US1CAPC0006,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
US1CAPC0006,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
US1CAPC0006,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
US1CAPC0007,25.4,6.9,45.8,23.0,3.1,11.7,0.0,0.0,15.5,0.3,28.4,6.4
US1CAPC0010,18.0,10.2,59.4,26.8,11.0,22.9,0.0,0.3,28.8,3.6,43.9,13.0
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
US1CAYB0004,17.1,11.7,54.7,21.9,7.4,15.8,0.0,0.0,17.1,2.8,30.2,11.9
US1CANV0001,37.7,30.2,87.8,43.3,26.0,38.3,0.0,1.8,42.8,10.9,38.1,27.5
US1CAYB0002,13.5,0.0,65.6,39.4,6.9,29.9,0.0,0.0,20.8,0.0,44.2,0.0
USC00044374,52.5,13.4,10.6,61.7,82.4,49.8,4.1,31.2,32.9,12.2,24.4,8.9
USC00041497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,31.3,31.8,10.7
USC00041159,46.5,20.3,68.1,45.0,32.6,26.2,0.3,0.0,33.8,18.1,53.5,21.6
USC00047195,44.0,15.9,83.2,29.7,25.9,12.4,0.0,0.8,50.6,15.5,26.1,12.9
USC00041497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,31.3,31.8,10.7
USC00047195,44.0,15.9,83.2,29.7,25.9,12.4,0.0,0.8,50.6,15.5,26.1,12.9
USC00041497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,31.3,31.8,10.7
USC00047195,44.0,15.9,83.2,29.7,25.9,12.4,0.0,0.8,50.6,15.5,26.1,12.9
USC00043896,23.6,19.7,23.9,0.0,6.5,0.0,0.5,5.1,11.3,15.2,19.1,10.9
USW00023119,14.4,19.9,18.3,0.0,7.1,0.0,0.6,10.2,0.0,11.0,11.7,9.2
USW00003171,22.8,15.8,16.1,0.0,2.5,0.0,2.5,1.5,0.0,7.9,13.2,4.0
USC00047306,32.5,36.4,23.4,0.5,6.1,0.0,5.1,2.8,0.0,15.0,33.9,7.9
USC00047306,32.5,36.4,23.4,0.5,6.1,0.0,5.1,2.8,0.0,15.0,33.9,7.9
US1CARV0018,39.6,35.1,37.8,0.0,15.6,0.0,2.3,5.8,2.8,1.3,21.1,5.6
USC00042805,23.1,11.7,11.7,0.0,3.5,0.0,0.0,0.0,0.0,4.1,13.5,17.7
USC00047813,28.1,23.6,32.8,2.5,12.5,0.0,0.0,6.4,1.3,19.5,13.8,12.5
USC00047306,32.5,36.4,23.4,0.5,6.1,0.0,5.1,2.8,0.0,15.0,33.9,7.9
US1CARV0018,39.6,35.1,37.8,0.0,15.6,0.0,2.3,5.8,2.8,1.3,21.1,5.6
USC00046657,62.0,87.9,22.8,1.5,15.8,0.0,17.0,0.0,57.2,67.1,25.5,24.4
US1CARV0019,23.7,27.9,22.6,0.0,4.8,0.0,4.1,2.3,0.0,8.9,13.7,21.3
