station,lat,lon,elev,name
US1CAOR0026,33.5633,-117.6394,186.8,CA MISSION VIEJO 3.5 SSE(K6WTA)                
US1CAOR0027,33.7183,-117.7721,46.3,CA IRVINE 4.1 NNE                              
US1CAOR0028,33.7753,-117.9462,25.9,CA GARDEN GROVE 0.8 ESE                        
US1CAOR0029,33.847,-117.7871,114.0,CA ANAHEIM 4.9 E                               
US1CAOR0031,33.8261,-117.7781,197.8,CA ORANGE 3.0 ENE                              
US1CAPC0001,39.3021,-120.3837,2099.2,CA SODA SPRINGS 1.5 SSW                        
US1CAPC0006,38.8875,-121.3217,39.9,CA LINCOLN 0.9 SSW                             
US1CAPC0007,38.7802,-121.3766,29.3,CA ROSEVILLE 4.7 WNW                           
US1CAPC0008,38.7626,-121.2794,51.8,CA ROSEVILLE 0.8 ENE                           
US1CAPC0010,38.8472,-121.1584,185.9,CA PENRYN 0.4 SE                               
US1CAPC0011,39.061,-120.9911,633.1,CA COLFAX 3.1 SW                               
US1CAPC0012,38.9362,-121.0679,465.7,CA AUBURN 3.1 N                                
US1CAPC0013,38.851,-121.123,243.8,CA NEWCASTLE 1.6 SSE                           
US1CAPC0014,38.8423,-121.2837,52.4,CA LINCOLN 4.3 SSE                             
US1CAPC0019,38.8175,-121.2436,167.6,CA ROCKLIN 1.1 N                               
US1CAPC0021,38.7399,-121.2575,47.5,CA ROSEVILLE 2.4 SE                            
US1CAPC0022,38.7797,-121.299,47.9,CA ROSEVILLE 1.4 NNW                           
US1CARV0002,33.7631,-116.735,1927.9,CA IDYLLWILD 1.8 NW                            
US1CARV0003,33.8212,-116.3978,77.4,CA THOUSAND PALMS 0.7 W                        
US1CARV0004,33.9855,-116.5415,408.1,CA DESERT HOT SPRINGS 3.0 NW                   
US1CARV0005,33.7527,-116.9196,517.6,CA HEMET 4.1 ENE                               
US1CARV0006,33.7346,-117.4315,396.8,CA CORONA 12.5 SE                              
US1CARV0008,33.7307,-117.4276,427.9,CA CORONA 12.8 SE                              
US1CARV0012,33.6574,-117.3808,413.3,CA LAKE ELSINORE 3.5 WSW                       
US1CARV0015,33.908,-117.548,201.5,CA NORCO 1.2 S                                 
US1CARV0017,33.8262,-117.365,499.6,CA PERRIS 8.5 WNW                              
US1CARV0018,33.9543,-117.012,771.8,CA BEAUMONT 2.5 NW                             
US1CARV0019,33.9793,-117.4541,256.3,CA RIVERSIDE 3.8 NW                            
US1CARV0020,33.9059,-117.5178,332.5,CA NORCO 2.3 SE                                
US1CARV0021,33.9354,-117.3526,396.5,CA RIVERSIDE 2.6 E                             
US1CARV0026,33.6092,-117.3589,943.4,CA LAKE ELSINORE 4.7 SSW                       
US1CARV0035,33.6922,-117.3959,459.6,CA LAKE ELSINORE 4.6 WNW                       
US1CASA0001,38.6173,-121.3404,31.1,CA CARMICHAEL 1.6 SW                           
US1CASA0002,38.635,-121.3611,29.0,CA SACRAMENTO 8.0 NE                           
US1CASA0003,38.6546,-121.0907,181.1,CA FOLSOM 3.4 ESE                              
US1CASA0005,38.6429,-121.3059,39.6,CA CARMICHAEL 0.9 NE                           
US1CASA0006,38.6375,-121.3446,33.2,CA CARMICHAEL 1.4 W                            
US1CASA0007,38.66,-121.1395,110.3,CA FOLSOM 1.2 SSE                              
US1CASA0008,38.6211,-121.3189,32.9,CA CARMICHAEL 0.9 S                            
US1CASA0009,38.6513,-121.1764,59.1,CA FOLSOM 2.4 SW                               
US1CASA0010,38.4558,-121.2827,29.6,CA SACRAMENTO 13.7 SE                          
US1CASA0012,38.5499,-121.4374,10.4,CA SACRAMENTO 2.0 SE                           
US1CASA0015,38.6086,-121.4122,14.0,CA SACRAMENTO 4.1 NE                           
US1CASA0021,38.0501,-121.7031,1.5,CA RIO VISTA 8.5 S                             
US1CASA0023,38.4928,-121.4195,8.5,CA SACRAMENTO 5.7 SSE                          
US1CASA0029,38.6823,-121.1375,121.6,CA FOLSOM 0.6 NE                               
US1CASA0030,38.5753,-121.34,19.5,CA LA RIVIERA 1.0 NE                           
US1CASA0031,38.6754,-121.1556,102.1,CA FOLSOM 0.5 W                                
US1CASA0035,38.5804,-121.2812,31.7,CA RANCHO CORDOVA 1.5 SE                       
US1CASA0039,38.6762,-121.2518,60.7,CA FAIR OAKS 1.9 N                             
US1CASB0001,34.4397,-119.8961,48.2,CA GOLETA 3.7 WNW                              
US1CASB0004,34.45,-119.7,247.2,CA SANTA BARBARA 1.9 NE                        
US1CASC0001,37.3848,-122.0752,33.2,CA MOUNTAIN VIEW 1.2 S                         
US1CASC0003,37.3647,-122.0042,25.9,CA SUNNYVALE 1.9 SE                            
US1CASC0004,37.305,-121.775,68.0,CA SAN JOSE 5.4 SW                             
US1CASC0005,37.2324,-121.9902,142.3,CA MONTE SERENO 0.4 SSW                        
US1CASC0006,37.092,-121.6324,103.0,CA MORGAN HILL 2.7 S                           
US1CASC0007,37.3543,-121.7955,96.9,CA SAN JOSE 4.6 NE                             
US1CASC0008,37.3775,-122.1,47.5,CA LOS ALTOS 0.6 NNW                           
US1CASC0010,37.2714,-121.8765,49.4,CA SAN JOSE 2.7 SSW                            
US1CASC0011,37.2341,-121.8974,76.8,CA CAMBRIAN PARK 2.2 SE                        
US1CASC0012,37.319,-121.7887,61.0,CA SAN JOSE 3.5 ENE                            
US1CASC0013,37.2733,-121.8664,49.1,CA SAN JOSE 2.3 SSW                            
US1CASC0015,37.2748,-122.0227,113.7,CA SARATOGA 0.5 N                              
US1CASC0017,37.4516,-122.1486,9.8,CA PALO ALTO 1.2 NE                            
US1CASC0018,37.3086,-121.9272,48.5,CA SAN JOSE 3.0 WSW                            
US1CASC0023,37.1427,-121.9725,527.9,CA LOS GATOS 6.1 S                             
US1CASC0027,37.3859,-121.824,89.3,CA SAN JOSE 5.8 NNE                            
US1CASC0028,37.4098,-122.1348,18.3,CA PALO ALTO 0.8 NNE                           
US1CASC0032,37.3185,-121.9608,42.4,CA SAN JOSE 6.2 W                              
US1CASC0040,37.156,-121.9875,506.6,CA LOS GATOS 5.4 SSW                           
US1CASC0041,37.3865,-122.1355,59.1,CA LOS ALTOS HILLS 1.3 N                       
US1CASC0042,37.3344,-122.018,51.8,CA SUNNYVALE 3.6 S (W6NW)                      
US1CASC0045,37.1168,-121.6591,132.0,CA MORGAN HILL 1.4 SW                          
US1CASC0046,37.2592,-121.827,54.6,CA SAN JOSE 3.3 SSE                            
US1CASC0048,37.1864,-121.5462,799.8,CA MORGAN HILL 6.4 NE                          
US1CASD0001,33.1472,-117.1316,203.0,CA SAN MARCOS 2.5 ENE                          
US1CASD0003,32.5738,-117.0625,42.1,CA IMPERIAL BEACH 3.3 E                        
US1CASD0004,33.27,-117.2663,76.8,CA OCEANSIDE 8.4NE                             
US1CASD0006,32.8112,-116.9254,185.9,CA EL CAJON 2.3ENE                             
US1CASD0007,33.0499,-117.2368,58.8,CA ENCINITAS 3.34ENE                           
US1CASD0008,33.1852,-117.1282,449.3,CA ESCONDIDO 5.2NNW                            
US1CASD0009,32.7907,-116.987,221.6,CA EL CAJON 1.5WSW                             
US1CASD0010,33.1055,-117.0482,210.3,CA ESCONDIDO 2.5 SSE                           
US1CASD0011,33.0757,-117.292,57.3,CA ENCINITAS 2.7N                              
US1CASD0012,32.9956,-117.0044,367.6,CA POWAY 3.2NE                                 
US1CASD0013,32.6802,-116.7061,834.2,CA JAMUL 9.9ESE                                
US1CASD0014,33.2225,-116.3904,236.8,CA BORREGO SPRINGS 2.4 WSW                     
