Year,Fire Name,Alarm Date,Containment Date,Duration (Days),Cause,Acres,Area,Perimeter
2022,HILL,2022-09-06,2022-09-15,9.0,Debris,13.28599,89465.70703125,1485.88603763192
2022,DUTCH,2022-09-13,2022-09-19,6.0,Unknown / Unidentified,26.78517,180704.625,3557.205389024
2022,NADER,2022-09-17,2022-09-19,2.0,Vehicle,16.17019,108377.0859375,2655.5524013516
2022,GARDEN BAR,2022-09-17,2022-09-19,2.0,Arson,28.27837,189716.8046875,2141.87573120487
2022,RUN,2022-10-29,2022-11-02,4.0,Equipment Use,11.89783,80003.921875,1165.61204287325
2022,PROVENZA,2022-11-13,2022-11-16,3.0,Debris,7.863962,52880.96484375,1597.36779782314
2022,COLORADO,2022-01-21,2022-02-02,12.0,Debris,687.4208,4300944.3671875,19831.8990106189
2022,AGUAJITO,2022-10-02,2022-10-03,1.0,Powerline,5.257333,33052.73046875,828.981500906089
2022,ANZAR,2022-07-21,2022-07-27,6.0,Powerline,101.0951,640836.1171875,13104.5659304596
2022,BETABEL ,2022-06-14,2022-06-14,0.0,Vehicle,47.00494,298057.35546875,3441.46735038986
2022,COASTAL,2022-05-05,2022-05-17,12.0,Powerline,202.0908,1179813.8671875,9001.51523443702
2022,EMERALD,2022-02-10,2022-02-19,9.0,Unknown / Unidentified,154.6207,903499.58203125,6738.43566695963
2022,KING,2022-05-25,2022-05-26,1.0,Arson,79.60818,495721.83203125,6666.30070978484
2022,ALPAUGH 2,2022-05-12,2022-05-13,1.0,Unknown / Unidentified,30.102,185926.8125,1953.9691220736
2022,DUNE,2022-06-16,2022-06-18,2.0,Arson,11.36639,80480.14453125,1470.53544306213
2022,ROBERT,2022-07-09,2022-07-09,0.0,Unknown / Unidentified,2.653836,15561.51953125,681.397154695023
2022,MORGAN,2022-07-12,2022-07-12,0.0,Unknown / Unidentified,22.02058,154059.0390625,3028.67993802793
2022,R-1 PIT,2022-07-31,2022-08-01,1.0,Lightning,67.82058,473943.6015625,3100.41413296535
2022,MESA,2022-07-30,2022-07-31,1.0,Unknown / Unidentified,222.0774,1361562.578125,7592.53527512085
2022,VIEWLAND,2022-07-22,2022-07-22,0.0,Unknown / Unidentified,10.53279,73518.67578125,1251.12685851537
2022,R-3 VINCENT,2022-09-14,2022-09-14,0.0,Lightning,2.810175,19788.16796875,811.310560710268
2022,CHIMNEY,2022-10-09,2022-10-10,1.0,Unknown / Unidentified,3.574984,22043.13671875,1157.03017285083
2022,WATER,2022-05-26,2022-05-26,0.0,Unknown / Unidentified,4.557865,27499.9921875,987.822030510559
2022,LERDO,2022-06-12,2022-06-12,0.0,Unknown / Unidentified,1.217743,7453,541.507137918016
2022,JUMPER,2022-05-28,2022-05-28,0.0,Unknown / Unidentified,5.989886,36669.01953125,1028.42021963685
2022,HART,2022-06-24,2022-06-24,0.0,Unknown / Unidentified,1.566871,9528.48828125,570.642502899295
2022,RIVER,2022-06-17,2022-06-17,0.0,Unknown / Unidentified,8.022064,49004.49609375,1305.62793990895
2022,PURPLE,2022-08-04,2022-08-04,0.0,Unknown / Unidentified,4.185538,25437.5,801.314662227847
2022,PLANT,2022-06-11,2022-06-14,3.0,Unknown / Unidentified,484.856,2923932.0625,11022.4043935977
2022,GRAPE,2022-06-10,2022-06-11,1.0,Unknown / Unidentified,19.35185,116664.02734375,1993.3701044805
